created_at,text,category
2022-12-20 10:00:02+00:00,erick thohir optimis ekonomi indonesia akan hindar dari ancam resesi akan tumbuh persen,1
2022-12-20 22:42:03+00:00,sri mulyani ekonomi indonesia tahun depan prediksi lemah,0
2022-12-20 23:23:04+00:00,amerika ambang resesi ekonomi,0
2022-12-21 00:37:49+00:00,tingkat percaya bisnis anjlok ekonomi china tuju resesi,0
2022-12-21 01:51:50+00:00,ekonomi indonesia tumbuh tengah resesi dunia,1
2022-12-21 01:51:50+00:00,prediksi lembaga ekonomi dunia ekonomi indonesia tumbuh tengah resesi global,1
2022-12-21 02:48:04+00:00,forum bisnis hipmi syamsul rijal optimis resesi ekonomi dunia tidak dampak parepare,1
2022-12-21 02:57:05+00:00,lembaga ekonomi dunia prediksi ekonomi indonesia terus tumbuh tengah resesi global,1
2022-12-21 03:45:00+00:00,menkeu ekonomi indonesia prediksi lemah,0
2022-12-21 06:42:01+00:00,presiden ri susilo bambang yudhoyono rasa resah dgn resesi ekonomi dunia yg hambat upaya atas global warming,0
2022-12-21 08:11:40+00:00,semangaat indonesia moga thn ptumbuhan ekonomi ri atas tidak resesi ekonomi inflasi bawah tingkat pen kembang juta unit umkm thn smg tingkat miskin ri bawah tingkat anggur buka tpt bawah,1
2022-12-21 10:14:44+00:00,banyak kata prediksi ekonomi gelap salah satu resesi laku usaha hadap resesi harus perhati dead stock simak postingan lanjut,0
2022-12-21 10:45:36+00:00,ekonomi indonesia tunbuh tengah resesi global,1
2022-12-21 12:33:06+00:00,resesi ekonomi landa negeri,0
2022-12-21 15:08:38+00:00,neng bgt gua liat usaha lokal laris manis moga ekonomi indonesia tetap kuat bebas dari ancam resesi,1
2022-12-21 23:40:29+00:00,ujung mungkin indonesia yg paling parah kena resesi ekonomi tapi laksana milu tidak ubah sesuai konstitusi,0
2022-12-22 01:38:41+00:00,argentina sedang landa resesi ekonomi parah utang tembus ribu triliun moga dgn terbit mata uang logo messi pulih ekonomi hihihi,0
2022-12-22 05:22:03+00:00,bayang bayang resesi global bahlil optimistis ekonomi ri punya cercah harap,1
2022-12-22 05:56:49+00:00,geliat ekonomi lokal begitu bagus insyaa allah menghadang resesi,1
2022-12-22 06:48:02+00:00,ketua banggar dpr ri yakin ekonomi ri tangguh hadap potensi resesi,1
2022-12-22 07:10:45+00:00,ekonomi global turun serta ketidakpastian tinggi tumbuh ekonomi global masih lambat bagaimana prakira risiko resesi tinggi beberapa negara masuk amerika serikat as eropa,0
2022-12-22 10:10:48+00:00,ekonomi inggris susut lampau kira belum kuartal tiga data baru tunjuk tinggi biaya hidup landa keluarga bisnis negara ambang resesi,0
2022-12-22 12:34:14+00:00,meski ancam resesi global hantu ekonomi indonesia optimis bisa tumbuh tahun datang,1
2022-12-23 06:31:52+00:00,inggris kira jatuh resesi tiga bulan akhir karena lonjak harga harga butuh pokok pukul tumbuh ekonomi,0
2022-12-24 02:15:16+00:00,resesi ekonomi tengah landa dunia tuding jadi sebab gelombang phk massal startup raksasa simak live muslimah bicara,0
2022-12-24 02:18:07+00:00,phk massal sebab startup sesuai diri ubah model bisnis skema pasar itu kondisi ekonomi ubah jadi resesi lemah ekonomi akibat pandemi covid,0
2022-12-24 02:40:30+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang badai phk start up anggur islam kaffah,0
2022-12-24 02:53:24+00:00,phk massal sebab startup sesuai diri ubah model bisnis skema pasar itu kondisi ekonomi yg ubah amp jadi resesi lemah ekonomi akibat pandemi covid islam kaffah badai phk,0
2022-12-24 02:55:25+00:00,resesi ekonomi tengah landa dunia tuding jadi sebab gelombang phk massal startup raksasa,0
2022-12-24 02:56:32+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang live muslimah bicara,0
2022-12-24 02:57:16+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang padahal mayoritas karyawannya pemuda islam kaffah,0
2022-12-24 02:58:03+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka indonesia alami badai phk karyawan panjang padahal mayoritas karyawannya pemuda nasib ke depan islam kaffah,0
2022-12-24 03:00:42+00:00,bayang resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang islam kaffah,0
2022-12-24 03:01:15+00:00,bayang ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang padahal mayoritas karyawannya pemuda terus bagaimana nasib ke depan islam kaffah,0
2022-12-24 03:02:10+00:00,awal tahun depan resesi ekonomi hantu beberapa usaha muka laku phk karyawan panjang padahal mayoritas karyawannya pemuda islam kaffah,0
2022-12-24 03:13:48+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang kayak anggur bakal naik nih sedih sih,0
2022-12-24 03:37:15+00:00,resesi ekonomi tengah landa dunia tuding jadi sebab badai phk massal startup raksasa banyak pihak menep duga lantas apa sebab phk massal sebut,0
2022-12-24 04:04:10+00:00,phk dampak resesi ekonomi di depan mata live muslimah bicara,0
2022-12-24 04:13:11+00:00,resesi amp inflasi ekonomi phk massal jadi bukti gagal sistem ekonomi kapitalisme neoliberal,0
2022-12-24 04:55:49+00:00,ancam resesi ekonomi tahun datang buat beberapa usaha muka laku phk karyawan panjang live muslimah bicara badai phk,0
2022-12-24 05:08:54+00:00,resesi ekonomi anggap sebab phk massal live muslimah bicara badai phk,0
2022-12-24 05:10:02+00:00,phk dampak resesi ekonomi di depan mata live muslimah bicara badai phk,0
2022-12-24 05:21:50+00:00,resesi ekonomi tengah landa dunia tuding jadi sebab gelombang phk massal startup raksasa live muslimah bicara badai phk,0
2022-12-25 05:10:53+00:00,kondisi ekonomi indonesia stabil siap hadap resesi,1
2022-12-25 05:42:35+00:00,kondisi ekonomi ri pasti stabil siap hadap resesi,1
2022-12-25 05:53:55+00:00,indonesia siap hadap resesi adalah kerja keras perintah bangkit ekonomi indonesia,1
2022-12-25 05:57:05+00:00,kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-25 06:17:43+00:00,siapp ekonomi stabli mudah mudah lepas dari resesi,1
2022-12-25 06:31:55+00:00,kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-25 07:42:09+00:00,kabar gembira kondisi ekonomi ri pasti stabil siap hadap resesi,1
2022-12-25 07:52:54+00:00,kondisi ekonomi ri tetap stabil siap hadap resesi maju terus,1
2022-12-25 08:13:52+00:00,kondisi ekonomi indonesia stabil hadap resesi tahun,1
2022-12-25 08:24:23+00:00,ekonomi indonesia stabil siap hadap resesi,1
2022-12-26 01:00:00+00:00,perintah optimis ekonomi tidak gelap semangatt gotong royong hadap resesi,1
2022-12-26 01:00:01+00:00,menteri erick thohir tegas ekonomi indonesia terus tumbuh dan himbau hadap resesi gotong royong,1
2022-12-26 01:00:26+00:00,ekonomi indonesia terus naik hingga tahun datang dorong semua pihak hadap resesi,1
2022-12-26 01:00:30+00:00,perintah optimis ekonomi indonesia terus tumbuh hingga tahun diri dorong semua pihak hadap resesi,1
2022-12-26 01:00:50+00:00,erick thohir tegas ekonomi indonesia terus tumbuh hingga tahun diri dorong semua utk hadap resesi dgn saling gotong royong moga dgn dorong gotong royong indonesia terus tumbuh,1
2022-12-26 01:00:51+00:00,perintah optimis ekonomi indonesia baik hadap resesi gotong royong,1
2022-12-26 01:01:00+00:00,perintah indonesia optimis ekonomi terus tumbuh hingga dorong semua pihak gotong royong hadap resesi,1
2022-12-26 01:01:03+00:00,erick thohir tegas ekonomi indonesia terus tumbuh hingga tahun diri dorong semua pihak hadap resesi saling gotong royong,1
2022-12-26 01:03:17+00:00,tengah situasi ancam resesi global landa seluruh negara dunia perintah indonesia optimis ekonomi tetap tumbuh potensi besar milik bangsa indonesia,1
2022-12-26 01:04:00+00:00,menteri selamat ekonomi indonesia terus tumbuh hingga tahun diri dorong semua pihak hadap resesi saling gotong royong sinergi,1
2022-12-26 02:48:27+00:00,amerika serikat ada ambang resesi mana ekonomi negara sebut tunjuk banyak lemah,0
2022-12-26 03:56:41+00:00,banyak pakar ekonomi analis ingat dunia hadap resesi ekonomi saat bagai negara tengah banting tulang hadap inflasi akibat bagai faktor pandemi covid hingga invasi rusia ukraina,0
2022-12-26 03:56:43+00:00,negara negara maju amerika serikat as inggris kira alami lambat ekonomi namun negara asia pasifik khusus indonesia kira tetap kuat tengah badai resesi,0
2022-12-26 03:56:44+00:00,kutip bagai sumber ikut fakta kait indonesia hindar dari resesi ekonomi,1
2022-12-26 05:32:27+00:00,presiden jokowi pasti kondisi ekonomi ri stabil siap hadap resesi,1
2022-12-26 05:44:19+00:00,perintah tegas ekonomi indonesia terus tumbuh hingga diri dorong semua pihak gotong royong hadap resesi denny cagur mixue hot amp cold home alone senin fajar santa cuti libur mowning,1
2022-12-26 06:29:18+00:00,tahun depan ancam resesi yg sangat ancam ekonomi dunia hrus kalah sih arsjad rasjid ketua kadin,0
2022-12-26 06:32:51+00:00,bayang resesi lambat ekonomi tahun,0
2022-12-26 06:47:21+00:00,jumlah negara dunia alami resesi masuk jurang krisis ekonomi apakah indonesia masuk ikut potret daftar,0
2022-12-26 07:43:42+00:00,awas resesi dampak masyarakat tengah bawah,0
2022-12-26 07:50:02+00:00,resesi global ancam ekonomi indonesia bakal lesu bulan,0
